Gene ID,gene_name,gene_product,"B1-MG data, non-normalized",,,"B1-MG data, normalized",,,"MG-SG data, non-normalized",,,"MG-SG data, normalized",,,"SG-B2 data, non-normalized",,,"SG-B2 data, normalized",,,"SG-B2 data, normalized, BS fitness-corrected",,,"Blood stage fitness data (Bushell et al., 2017)",,Classified as metabolic?,Metabolic subsystem(s),Go Biological Process (computed),GO Biological Process (curated)
PBANKA_1431900,,"glycerol-3-phosphate dehydrogenase, putative",0.197,0.050,not reduced,-0.199,0.064,not reduced,0.231,0.054,not reduced,-0.140,0.072,not reduced,-0.160,0.053,not reduced,-0.715,0.071,not reduced,-0.037,0.605,no power,0.851,Dispensable,y,Glycerophospholipid metabolism,"carbohydrate metabolic process, glycerol-3-phosphate catabolic process, oxidation-reduction process", 
PBANKA_1104900,,"UDP-N-acetyl glucosamine:UMP antiporter, putative",0.713,0.144,not reduced,-0.016,0.187,not reduced,-0.233,0.112,not reduced,-0.986,0.155,no power,-0.137,0.107,not reduced,-0.936,0.137,no power,-0.855,0.181,no power,0.965,Dispensable,,,carbohydrate transport, 
PBANKA_0806300,,"P-type ATPase, putative",-0.943,0.081,no power,-1.319,0.099,reduced,-0.410,0.086,not reduced,-0.815,0.114,no power,-0.082,0.520,no power,-1.016,0.622,no power,-0.894,0.695,no power,0.963,Dispensable,,,cation transport, 
PBANKA_0610400,ATP4,"non-SERCA-type Ca2+ -transporting P-ATPase, putative",0.241,1.105,no power,-0.130,1.123,no power,0.445,0.984,no power,0.011,1.013,no power,4.599,1.174,not reduced,3.729,1.271,not reduced,5.650,1.343,not reduced,0.639,Slow,,,cation transport, 
PBANKA_1438300,,"phospholipid-transporting ATPase, putative",2.314,1.139,not reduced,-0.031,1.466,no power,-0.184,0.661,no power,-0.192,0.850,no power,1.698,0.494,not reduced,0.000,0.635,no power,4.213,1.345,not reduced,0.378,Slow,,,cation transport, 
PBANKA_1422200,,"zinc transporter, putative",-0.778,0.105,not reduced,-1.398,0.119,reduced,0.440,0.165,not reduced,0.015,0.186,not reduced,-3.780,0.547,reduced,-4.632,0.574,reduced,-4.559,0.584,reduced,0.980,Dispensable,,,"cation transport, transmembrane transport", 
PBANKA_1319500,CCP2,LCCL domain-containing protein,0.099,0.583,no power,-0.538,0.627,no power,-0.458,0.579,no power,-0.922,0.635,no power,1.436,0.633,not reduced,0.210,0.708,no power,1.293,1.001,not reduced,0.777,Dispensable,,,cell adhesion, 
PBANKA_1300700,CCp1,LCCL domain-containing protein,1.785,0.094,not reduced,1.209,0.117,not reduced,-1.724,0.084,reduced,-2.029,0.103,reduced,-0.616,0.119,not reduced,-1.344,0.140,reduced,-1.050,0.229,no power,0.932,Dispensable,,,cell adhesion, 
PBANKA_0824400,,"cyclin-dependent kinases regulatory subunit, putative",-0.061,0.358,not reduced,-0.461,0.458,no power,0.391,0.082,not reduced,-1.267,0.123,reduced,-0.855,0.104,no power,-1.841,0.131,reduced,-1.650,0.284,reduced,0.957,Dispensable,,,cell cycle, 
PBANKA_1225500,,"conserved Plasmodium protein, unknown function",0.168,0.597,no power,-0.213,0.691,no power,0.183,0.580,not reduced,-0.294,0.684,no power,0.274,0.634,not reduced,0.282,0.719,no power,0.345,0.737,no power,0.985,Dispensable,,,cell cycle arrest, 
PBANKA_0920900,,"conserved Plasmodium protein, unknown function",-0.564,0.246,no power,-0.842,0.286,no power,0.624,0.186,not reduced,0.332,0.222,not reduced,-0.468,0.376,no power,-0.422,0.427,no power,4.603,0.945,not reduced,0.228,Slow,,,cell redox homeostasis, 
PBANKA_0105500,GLP2,glutaredoxin-like protein,-2.332,1.824,no power,-2.565,1.860,no power,-0.805,1.077,no power,-0.963,1.131,no power,1.518,1.174,not reduced,1.192,1.284,no power,7.533,1.360,not reduced,0.230,Slow,,,cell redox homeostasis, 
PBANKA_0404700,GRX1,"glutaredoxin 1, putative",0.548,0.130,not reduced,0.101,0.165,not reduced,0.584,0.061,not reduced,0.089,0.084,not reduced,-0.573,0.173,not reduced,-1.216,0.226,no power,-1.097,0.291,no power,0.979,Dispensable,,,cell redox homeostasis, 
PBANKA_1219700,GLP3,glutaredoxin-like protein,0.122,0.070,not reduced,-0.284,0.085,not reduced,-0.073,0.064,not reduced,-0.425,0.082,not reduced,0.057,0.074,not reduced,-0.490,0.092,not reduced,-0.776,0.127,no power,1.054,Dispensable,,,cell redox homeostasis, 
PBANKA_1335800,,"protein disulfide-isomerase, putative",0.059,0.125,not reduced,-0.364,0.145,not reduced,0.217,0.066,not reduced,-0.241,0.082,not reduced,0.051,0.089,not reduced,-0.612,0.108,not reduced,-0.631,0.165,not reduced,0.988,Dispensable,,,cell redox homeostasis, 
PBANKA_0820300,,"protein disulfide isomerase, putative",-0.238,0.249,not reduced,-0.764,0.267,no power,-0.163,0.336,not reduced,-0.510,0.353,no power,0.351,0.523,not reduced,-0.321,0.543,no power,-0.027,0.565,no power,0.934,Dispensable,,,cell redox homeostasis, 
PBANKA_1358000,TRX2,thioredoxin 2,0.304,0.089,not reduced,-0.370,0.112,not reduced,-0.297,0.075,not reduced,-0.883,0.106,no power,0.371,0.105,not reduced,-0.013,0.137,not reduced,1.237,0.444,not reduced,0.754,Slow,,,cell redox homeostasis, 
PBANKA_1320900,TRX1,"thioredoxin 1, putative",-0.238,0.249,not reduced,-0.764,0.267,no power,-0.163,0.336,not reduced,-0.510,0.353,no power,0.351,0.523,not reduced,-0.321,0.543,no power,1.964,0.572,not reduced,0.589,Slow,,,"cell redox homeostasis, glycerol ether metabolic process", 
PBANKA_1446900,LPD1,"dihydrolipoyl dehydrogenase, mitochondrial, putative",-1.906,0.116,reduced,-2.428,0.132,reduced,0.195,0.120,not reduced,-0.164,0.137,not reduced,-3.611,0.503,reduced,-4.271,0.523,reduced,-3.450,0.539,reduced,0.828,Slow,y,"Citrate cycle (TCA cycle)|Glycine, serine and threonine metabolism|Lysine degradation","cell redox homeostasis, oxidation-reduction process", 
PBANKA_0714900,aLipDH,"dihydrolipoyl dehydrogenase, apicoplast, putative",0.434,0.037,not reduced,-0.036,0.051,not reduced,0.072,0.042,not reduced,-0.483,0.059,not reduced,-3.740,0.184,reduced,-5.305,0.207,reduced,-5.218,0.266,reduced,0.968,Dispensable,y,"Glycine, serine and threonine metabolism|Isoprenoid metabolism|Propanoate metabolism","cell redox homeostasis, oxidation-reduction process", 
PBANKA_1023400,GR,"glutathione reductase, putative",0.169,0.142,not reduced,-0.306,0.176,not reduced,-0.196,0.087,not reduced,-0.679,0.109,not reduced,-1.536,0.276,no power,-2.081,0.353,reduced,-2.053,0.429,reduced,0.990,Dispensable,y,Pyrimidine metabolism|Redox metabolism|Selenocompound metabolism,"cell redox homeostasis, oxidation-reduction process", 
PBANKA_1430800,Trx-Px2,"thioredoxin peroxidase 2, putative",0.160,0.056,not reduced,-0.500,0.071,not reduced,-0.235,0.077,not reduced,-0.594,0.098,not reduced,-0.181,0.112,not reduced,-1.003,0.138,no power,-0.859,0.215,no power,0.965,Dispensable,y,Redox metabolism,"cell redox homeostasis, oxidation-reduction process", 
PBANKA_1302800,TPx1,thioredoxin peroxidase 1,0.090,0.027,not reduced,-0.378,0.041,not reduced,0.073,0.027,not reduced,-0.431,0.040,not reduced,1.208,0.041,not reduced,-0.332,0.059,not reduced,-0.280,0.132,not reduced,0.994,Dispensable,y,Redox metabolism,"cell redox homeostasis, oxidation-reduction process", 
PBANKA_1455400,,"conserved Plasmodium protein, unknown function",-0.236,0.061,not reduced,-0.735,0.080,not reduced,-0.010,0.064,not reduced,-0.326,0.083,not reduced,1.328,0.052,not reduced,0.570,0.072,not reduced,0.655,0.152,not reduced,0.952,Dispensable,,,"cell redox homeostasis, oxidation-reduction process", 
PBANKA_1026200,GDH1,"NADP-specific glutamate dehydrogenase, putative",-2.553,0.769,reduced,-3.085,0.805,reduced,0.247,0.644,no power,-0.239,0.667,no power,0.066,0.869,no power,-0.561,0.920,no power,2.661,2.003,no power,0.496,Insufficient data,y,"Alanine, aspartate and glutamate metabolism","cellular amino acid metabolic process, oxidation-reduction process", 
PBANKA_0511000,,"biotin--acetyl-CoA-carboxylase, putative",0.384,0.045,not reduced,-0.230,0.059,not reduced,0.177,0.048,not reduced,-0.192,0.067,not reduced,-7.354,0.585,reduced,-8.157,0.610,reduced,-8.172,0.625,reduced,1.004,Dispensable,y,Biotin metabolism,cellular protein modification process, 
PBANKA_0824500,LplA2,"lipoate-protein ligase 2, putative",-3.198,0.137,reduced,-3.393,0.177,reduced,-0.323,0.127,not reduced,-0.670,0.159,not reduced,-1.865,0.384,reduced,-1.818,0.428,no power,1.482,0.508,not reduced,0.439,Slow,y,Lipoic acid metabolism,cellular protein modification process, 
PBANKA_1440700,UBA1,"ubiquitin-activating enzyme E1, putative",-0.618,1.024,no power,-1.024,1.040,no power,0.068,1.006,no power,-0.140,1.023,no power,0.296,0.844,no power,-0.078,0.873,no power,-0.038,1.060,no power,0.991,Dispensable,,,cellular protein modification process, 
PBANKA_1113700,,"tubulin--tyrosine ligase, putative",0.179,0.079,not reduced,-0.314,0.099,not reduced,0.025,0.074,not reduced,-0.284,0.092,not reduced,-0.405,0.080,not reduced,-1.090,0.099,no power,-0.956,0.182,no power,0.965,Dispensable,,,cellular protein modification process, 
PBANKA_1208000,,"tubulin--tyrosine ligase, putative",0.149,0.261,not reduced,-0.316,0.361,no power,-0.097,0.343,not reduced,-0.506,0.448,no power,-0.045,0.436,not reduced,-0.082,0.550,no power,0.012,0.577,no power,0.977,Dispensable,,,cellular protein modification process, 
PBANKA_1323600,,"biotin protein ligase, putative",0.492,0.090,not reduced,0.037,0.124,not reduced,0.202,0.054,not reduced,-0.281,0.075,not reduced,0.502,0.141,not reduced,-0.119,0.192,not reduced,0.244,0.235,not reduced,0.935,Dispensable,,,cellular protein modification process, 
PBANKA_0901900,,"tubulin--tyrosine ligase, putative",-0.736,0.082,not reduced,-1.121,0.100,no power,0.357,0.083,not reduced,-0.021,0.110,not reduced,0.119,0.423,not reduced,-0.658,0.516,no power,1.726,1.930,no power,0.514,Insufficient data,,,cellular protein modification process, 
PBANKA_0707000,LipB,lipoate-protein ligase B,0.320,0.055,not reduced,-0.287,0.069,not reduced,0.038,0.070,not reduced,-0.339,0.089,not reduced,-10.291,0.634,reduced,-11.100,0.660,reduced,-10.861,0.683,reduced,0.946,Dispensable,y,Lipoic acid metabolism,"cellular protein modification process, lipoate biosynthetic process", 
PBANKA_0718400,HAT1,"histone acetyltransferase, putative",-1.145,0.764,no power,-1.485,0.784,no power,-0.138,0.825,no power,-0.321,0.843,no power,-2.094,0.824,no power,-2.488,0.853,no power,-0.428,1.010,no power,0.657,Slow,,,"chromatin modification, chromatin organization", 
PBANKA_0716000,SMC3,"structural maintenance of chromosomes protein 3, putative",-0.258,0.879,no power,-0.545,0.908,no power,0.542,0.888,no power,-2.728,1.016,no power,-0.715,1.095,no power,-1.042,1.113,no power,0.166,1.331,no power,0.758,Dispensable,,,chromosome organization, 
PBANKA_0203900,,"conserved protein, unknown function",2.314,1.139,not reduced,-0.031,1.466,no power,-0.184,0.661,no power,-0.192,0.850,no power,1.698,0.494,not reduced,0.000,0.635,no power,5.483,0.870,not reduced,0.282,Slow,,,cleavage involved in rRNA processing, 
PBANKA_0611400,,"pantothenate kinase, putative",-1.524,0.748,no power,-2.044,0.785,no power,-0.863,0.539,no power,-1.362,0.563,no power,-3.212,0.806,reduced,-3.835,0.857,reduced,-3.367,0.937,reduced,0.913,Dispensable,y,Pantothenate (vit B5) metabolism / CoA biosynthesis,coenzyme A biosynthetic process, 
PBANKA_1022600,PANK,"pantothenate kinase, putative",0.559,0.136,not reduced,-0.169,0.179,not reduced,-0.387,0.111,not reduced,-1.141,0.154,no power,0.309,0.071,not reduced,-0.429,0.100,not reduced,-0.501,0.164,not reduced,1.009,Dispensable,y,Pantothenate (vit B5) metabolism / CoA biosynthesis,coenzyme A biosynthetic process, 
PBANKA_0503800,,"conserved Plasmodium protein, unknown function",-0.060,0.131,not reduced,-0.798,0.161,no power,0.417,0.136,not reduced,-0.015,0.163,not reduced,0.519,0.206,not reduced,-0.090,0.243,not reduced,0.367,0.314,not reduced,0.904,Dispensable,,,cortical protein anchoring, 
PBANKA_1142400,,"nucleoside diphosphate kinase b, putative",-1.771,0.648,no power,-2.506,0.669,reduced,-0.227,0.741,no power,-0.637,0.763,no power,1.297,0.832,not reduced,0.614,0.856,no power,3.057,0.880,not reduced,0.568,Slow,y,Purine metabolism|Pyrimidine metabolism,"CTP biosynthetic process, GTP biosynthetic process, UTP biosynthetic process, nucleoside diphosphate phosphorylation", 
PBANKA_0910300,GCalpha,"guanylyl cyclase, putative",1.167,1.123,no power,0.777,1.142,no power,1.282,0.988,not reduced,0.863,1.017,no power,2.196,1.191,not reduced,1.462,1.282,no power,5.902,1.536,not reduced,0.361,Slow,y,Purine metabolism,"cyclic nucleotide biosynthetic process, intracellular signal transduction", 
PBANKA_0921400,,"protein phosphatase, putative",0.186,0.080,not reduced,-0.493,0.103,not reduced,0.123,0.069,not reduced,-0.454,0.099,not reduced,-0.599,0.106,not reduced,-0.984,0.138,no power,-0.095,0.326,not reduced,0.815,Slow,,,"dephosphorylation, protein dephosphorylation", 
PBANKA_0809400,,"P1 nuclease, putative",-2.878,0.553,reduced,-3.559,0.659,reduced,5.301,0.495,not reduced,5.183,0.565,not reduced,-0.069,0.131,not reduced,-1.190,0.165,no power,-2.751,0.403,reduced,1.043,Dispensable,,,DNA catabolic process, 
PBANKA_1014800,WRN,"ADP-dependent DNA helicase RecQ, putative",-0.764,0.488,no power,-1.114,0.514,no power,1.552,0.478,not reduced,1.437,0.502,not reduced,-0.387,0.514,no power,-0.916,0.545,no power,0.275,0.636,not reduced,0.712,Slow,y,Purine metabolism,"DNA recombination, DNA repair, DNA replication", 
PBANKA_0515300,,"conserved Plasmodium protein, unknown function",-0.879,0.130,no power,-1.564,0.156,reduced,0.337,0.115,not reduced,-0.098,0.142,not reduced,0.159,0.203,not reduced,-0.484,0.240,not reduced,-0.236,0.323,not reduced,0.924,Dispensable,,,DNA repair, 
PBANKA_1006100,FEN1,"flap endonuclease 1, putative",0.301,0.827,no power,-0.519,0.870,no power,1.085,0.699,not reduced,0.903,0.738,not reduced,-2.323,1.106,no power,-2.610,1.204,no power,0.048,1.356,no power,0.550,Slow,,,DNA repair, 
PBANKA_0404100,,"AP endonuclease (DNA-[apurinic or apyrimidinic site] lyase), putative",0.569,0.060,not reduced,0.161,0.076,not reduced,0.038,0.059,not reduced,-0.315,0.078,not reduced,-0.121,0.062,not reduced,-0.710,0.080,not reduced,-1.076,0.244,no power,1.091,Dispensable,,,DNA repair, 
PBANKA_1113300,,"deoxyribodipyrimidine photo-lyase, putative",0.991,0.141,not reduced,0.176,0.165,not reduced,-0.415,0.130,not reduced,-0.862,0.155,no power,-0.398,0.126,not reduced,-1.292,0.156,no power,-0.582,0.342,no power,0.814,Slow,,,DNA repair, 
PBANKA_0622500,,"exonuclease I, putative",-0.133,0.142,not reduced,-0.807,0.166,no power,0.372,0.111,not reduced,-0.208,0.141,not reduced,-0.134,0.126,not reduced,-0.517,0.158,not reduced,0.694,0.379,not reduced,0.764,Slow,,,DNA repair, 
PBANKA_1324700,,"conserved Plasmodium protein, unknown function",-0.251,0.118,not reduced,-0.493,0.141,not reduced,-0.358,0.103,not reduced,-0.548,0.125,not reduced,0.878,0.112,not reduced,0.318,0.146,not reduced,1.682,0.708,not reduced,0.693,Dispensable,,,DNA repair, 
PBANKA_1206400,,"endonuclease, putative",-5.665,0.332,reduced,-5.862,0.367,reduced,1.797,0.413,not reduced,1.545,0.448,not reduced,-4.210,0.825,reduced,-4.537,0.907,reduced,-0.948,0.942,no power,0.438,Slow,,,DNA repair, 
PBANKA_0316000,RFC1,"replication factor C subunit 1, putative",0.823,0.911,not reduced,0.069,0.936,no power,-0.272,0.846,no power,-0.837,0.875,no power,0.064,1.582,no power,-0.315,1.616,no power,0.510,2.166,no power,0.839,Dispensable,,,"DNA repair, DNA replication", 
PBANKA_0714000,DMC1,meiotic recombination protein DMC1,-0.332,0.052,not reduced,-0.843,0.071,not reduced,-0.230,0.049,not reduced,-0.553,0.068,not reduced,-0.036,0.048,not reduced,-0.726,0.068,not reduced,-0.555,0.144,not reduced,0.965,Dispensable,,,"DNA repair, reciprocal meiotic recombination", 
PBANKA_1336900,,"conserved Plasmodium protein, unknown function",-1.005,0.108,no power,-1.260,0.135,no power,0.812,0.112,not reduced,-0.898,0.184,no power,0.118,0.071,not reduced,-0.236,0.089,not reduced,-0.038,0.194,not reduced,0.967,Dispensable,,,DNA replication, 
PBANKA_0513900,,"conserved Plasmodium protein, unknown function",-0.754,0.141,no power,-1.135,0.159,no power,0.174,0.160,not reduced,-0.223,0.187,not reduced,-0.259,0.786,no power,-1.376,0.897,no power,0.118,0.934,no power,0.707,Slow,,,DNA replication, 
PBANKA_0314700,RFC2,"replication factor C subunit 2, putative",-0.073,3.054,no power,-0.222,3.251,no power,1.305,3.577,no power,1.223,3.757,no power,-0.159,3.682,no power,-0.330,3.858,no power,2.820,3.979,no power,0.482,Slow,,,DNA replication, 
PBANKA_0803000,ORC2,"origin recognition complex subunit 2, putative",0.789,3.054,no power,0.646,3.251,no power,-0.454,3.577,no power,-0.539,3.757,no power,0.669,3.682,no power,0.501,3.858,no power,4.087,3.937,no power,0.437,Slow,,,DNA replication, 
PBANKA_0718300,MCM9,"DNA helicase MCM9, putative",0.463,0.047,not reduced,-0.160,0.061,not reduced,0.090,0.058,not reduced,-0.341,0.078,not reduced,0.461,0.077,not reduced,-0.313,0.101,not reduced,-0.260,0.134,not reduced,0.974,Dispensable,,,DNA replication, 
PBANKA_1108400,SSB,"single-stranded DNA-binding protein, putative",-0.051,0.304,not reduced,-0.388,0.364,no power,0.585,0.290,not reduced,0.282,0.365,not reduced,0.344,0.689,no power,-0.146,0.878,no power,6.979,0.898,not reduced,0.193,Slow,,,DNA replication, 
PBANKA_1360000,TOP3,"DNA topoisomerase 3, putative",0.949,2.442,no power,0.713,2.651,no power,-1.026,3.089,no power,-1.095,3.272,no power,-2.153,3.597,no power,-2.325,3.772,no power,0.225,3.775,no power,0.555,Slow,,,DNA topological change, 
PBANKA_0202900,,"transcription initiation factor TFIIB, putative",2.314,1.139,not reduced,-0.031,1.466,no power,-0.183,0.661,no power,-0.192,0.850,no power,1.695,0.492,not reduced,0.000,0.634,no power,5.010,1.224,not reduced,0.314,Slow,,,"DNA-templated transcription, initiation, regulation of transcription, DNA-templated", 
PBANKA_0518200,SDHA,"flavoprotein subunit of succinate dehydrogenase, putative",-0.983,0.088,no power,-1.375,0.102,reduced,-0.187,0.086,not reduced,-0.543,0.104,not reduced,-9.008,0.928,reduced,-9.592,0.953,reduced,-8.701,1.064,reduced,0.813,Dispensable,y,ETC,"electron transport chain, tricarboxylic acid cycle", 
PBANKA_1137200,SEC24A,"protein transport protein Sec24A, putative",0.540,3.054,no power,0.406,3.251,no power,0.042,3.577,no power,-0.046,3.757,no power,0.443,3.682,no power,0.278,3.858,no power,5.428,3.940,no power,0.304,Slow,,,"ER to Golgi vesicle-mediated transport, intracellular protein transport", 
PBANKA_1125100,FabB/FabF,"3-oxoacyl-acyl-carrier protein synthase, putative",0.200,0.031,not reduced,-0.263,0.044,not reduced,0.086,0.027,not reduced,-0.407,0.041,not reduced,-3.430,0.141,reduced,-5.000,0.165,reduced,-5.513,0.408,reduced,1.076,Dispensable,y,Biotin metabolism|Fatty acid metabolism,fatty acid biosynthetic process, 
PBANKA_1338200,FabZ,"beta-hydroxyacyl-ACP dehydratase, putative",0.142,0.036,not reduced,-0.317,0.050,not reduced,0.180,0.035,not reduced,-0.314,0.049,not reduced,-3.146,0.147,reduced,-4.721,0.172,reduced,-4.677,0.233,reduced,0.970,Dispensable,y,Biotin metabolism|Fatty acid metabolism,fatty acid biosynthetic process, 
PBANKA_0308200,,"apicoplast beta-ketoacyl-acyl carrier protein synthase III precursor, putative",0.562,0.145,not reduced,-0.168,0.188,not reduced,-0.014,0.115,not reduced,-0.760,0.158,no power,-9.489,0.963,reduced,-10.370,0.997,reduced,-9.618,1.016,reduced,0.841,Slow,y,Fatty acid metabolism,fatty acid biosynthetic process, 
PBANKA_0823800,FabG,"3-oxoacyl-[acyl-carrier-protein] reductase, putative",0.749,0.136,not reduced,0.024,0.179,not reduced,-0.440,0.114,not reduced,-1.195,0.157,no power,-8.554,0.954,reduced,-9.412,0.987,reduced,-9.235,0.992,reduced,0.960,Dispensable,y,Fatty acid metabolism|Steroid metabolism,"fatty acid biosynthetic process, oxidation-reduction process", 
