GeneId	ProductDescription	TranscriptLength	ProteinLength	MolecularWeight
PBANKA_1343100.1	"conserved Plasmodium protein, unknown function"	393	130	15548
PBANKA_1238100.1	"conserved Plasmodium protein, unknown function"	393	130	15551
PBANKA_1464000.1	"conserved Plasmodium protein, unknown function"	405	134	15572
PBANKA_1233000.1	"SWIB/MDM2 domain-containing protein, putative"	396	131	15575
PBANKA_0404200.1	"ubiquitin-conjugating enzyme E2, putative"	420	139	15612
PBANKA_0920000.1	"multiprotein-bridging factor 1, putative"	411	136	15625
PBANKA_1437900.1	"conserved Plasmodium protein, unknown function"	402	133	15626
PBANKA_1325400.1	"conserved Plasmodium protein, unknown function"	405	134	15657
PBANKA_0508500.1	"conserved Plasmodium protein, unknown function"	396	131	15666
PBANKA_0606500.1	"50S ribosomal protein L29, putative"	384	127	15679
PBANKA_1017400.1	"selenoprotein, putative"	405	134	15679
PBANKA_1449500.1	"conserved Plasmodium protein, unknown function"	444	147	15697
PBANKA_0612900.1	"conserved Plasmodium protein, unknown function"	405	134	15712
PBANKA_1134700.1	"conserved Plasmodium protein, unknown function"	411	136	15712
PBANKA_1360200.1	"conserved Plasmodium protein, unknown function"	402	133	15717
PBANKA_1240500.1	"conserved Plasmodium protein, unknown function"	396	131	15726
PBANKA_1111700.1	"conserved Plasmodium protein, unknown function"	390	129	15777
PBANKA_1129000.1	"secreted ookinete protein, putative"	402	133	15843
PBANKA_0916650.1	"conserved Plasmodium protein, unknown function"	411	136	15874
PBANKA_0100061.1	fam-c protein	411	136	15898
PBANKA_0623450.1	"fam-a protein, pseudogene"	417	138	15918
PBANKA_0516000.1	"conserved Plasmodium protein, unknown function"	399	132	15929
PBANKA_0410000.1	"conserved Plasmodium protein, unknown function"	411	136	15986
PBANKA_1137600.1	"iron-sulfur assembly protein, putative"	405	134	16024
PBANKA_0709100.1	"60S ribosomal protein L22, putative"	417	138	16025
PBANKA_1217900.1	"conserved Plasmodium protein, unknown function"	399	132	16053
PBANKA_0315700.1	"conserved Plasmodium protein, unknown function"	402	133	16057
PBANKA_1231000.1	"40S ribosomal protein S11, putative"	456	151	16074
PBANKA_1456100.1	"40S ribosomal protein S17, putative"	414	137	16077
PBANKA_API00350.1	apicoplast ribosomal protein S8	387	128	16088
PBANKA_1340700.1	"mitochondrial fission 1 protein, putative"	426	141	16103
PBANKA_0405300.1	"40S ribosomal protein S23, putative"	438	145	16115
PBANKA_0305600.1	"acyl carrier protein, putative"	420	139	16125
PBANKA_1431300.1	"conserved Plasmodium protein, unknown function"	411	136	16125
PBANKA_0517900.1	"conserved Plasmodium protein, unknown function"	423	140	16161
PBANKA_0835100.1	"conserved Plasmodium protein, unknown function"	417	138	16185
PBANKA_1108900.1	"conserved Plasmodium protein, unknown function"	417	138	16219
PBANKA_0523600.1	"BSD-domain protein, putative"	411	136	16224
PBANKA_1327041.1	"cyclin, fragment"	411	136	16230
PBANKA_1116900.1	"conserved Plasmodium protein, unknown function"	420	139	16236
PBANKA_1227300.1	"conserved Plasmodium protein, unknown function"	405	134	16306
PBANKA_0618000.1	"conserved Plasmodium protein, unknown function"	408	135	16340
PBANKA_1239500.1	"mitochondrial import receptor subunit TOM22, putative"	423	140	16355
PBANKA_1461200.1	"conserved Plasmodium protein, unknown function"	414	137	16356
PBANKA_0203400.1	"FAD-linked sulfhydryl oxidase ERV1, putative"	420	139	16359
PBANKA_1423600.1	"40S ribosomal protein S16, putative"	435	144	16360
PBANKA_0406700.1	"activator of Hsp90 ATPase, putative"	423	140	16361
PBANKA_1204500.1	"conserved Plasmodium protein, unknown function"	417	138	16402
PBANKA_1209400.1	inner membrane complex sub-compartment protein 1	432	143	16417
PBANKA_1432000.1	"signal recognition particle subunit SRP19, putative"	423	140	16437
PBANKA_1429500.1	"DNA-directed RNA polymerases I, II, and III subunit RPABC3, putative"	432	143	16481
PBANKA_0906400.1	"60S ribosomal protein L35ae, putative"	432	143	16483
PBANKA_1217600.1	"histone H2A variant, putative"	477	158	16493
PBANKA_0602800.1	"ubiquitin-conjugating enzyme E2, putative"	444	147	16538
PBANKA_0207900.1	"conserved Plasmodium protein, unknown function"	423	140	16542
PBANKA_1404600.1	"conserved Plasmodium protein, unknown function"	420	139	16566
PBANKA_1462300.1	"conserved Plasmodium protein, unknown function"	423	140	16571
PBANKA_1026800.1	"zinc finger protein, putative"	429	142	16611
PBANKA_0617200.1	"40S ribosomal protein S10, putative"	414	137	16627
PBANKA_1004200.1	"conserved Plasmodium protein, unknown function"	408	135	16628
PBANKA_1218500.1	"protein phosphatase inhibitor 2, putative"	435	144	16664
PBANKA_0917200.1	"RNA-binding protein s1, putative"	435	144	16670
PBANKA_0602100.1	"conserved Plasmodium protein, unknown function"	426	141	16679
PBANKA_1024800.1	"conserved Plasmodium protein, unknown function"	435	144	16684
PBANKA_1311300.1	"inner membrane complex protein, putative"	435	144	16711
PBANKA_1137500.1	actin-depolymerizing factor 2	432	143	16714
PBANKA_0524200.1	early transcribed membrane protein	468	155	16748
PBANKA_1429800.1	"conserved Plasmodium protein, unknown function"	420	139	16771
PBANKA_1446200.1	"mitosis protein dim1, putative"	429	142	16775
PBANKA_0404400.1	"conserved Plasmodium protein, unknown function"	411	136	16776
PBANKA_0501100.1	early transcribed membrane protein	465	154	16787
PBANKA_1447500.1	"conserved Plasmodium protein, unknown function"	417	138	16787
PBANKA_0408700.1	"trafficking protein particle complex subunit 4, putative"	435	144	16794
PBANKA_1301200.1	"mediator of RNA polymerase II transcription subunit 31, putative"	405	134	16795
PBANKA_0714100.1	"trafficking protein particle complex subunit 2-like protein, putative"	432	143	16798
PBANKA_0523000.1	"conserved Plasmodium protein, unknown function"	420	139	16803
PBANKA_0923900.1	"U6 snRNA-associated Sm-like protein LSm1, putative"	429	142	16819
PBANKA_1117500.1	"ribosomal protein L27a, putative"	447	148	16836
PBANKA_1324400.1	"60S ribosomal protein L27, putative"	441	146	16864
PBANKA_1336200.1	"conserved Plasmodium protein, unknown function"	450	149	16868
PBANKA_1416300.1	"40S ribosomal protein S19, putative"	438	145	16875
PBANKA_1426800.1	"conserved Plasmodium protein, unknown function"	429	142	16876
PBANKA_1234000.1	"V-type proton ATPase 16 kDa proteolipid subunit, putative"	498	165	16901
PBANKA_0910400.1	"conserved Plasmodium protein, unknown function"	432	143	16902
PBANKA_0621100.1	"proteasome assembly chaperone 4, putative"	441	146	16907
PBANKA_1010600.1	"calmodulin, putative"	450	149	16934
PBANKA_1406600.1	"CCAAT-binding transcription factor, putative"	447	148	16945
PBANKA_1241400.1	"conserved Plasmodium protein, unknown function"	426	141	16983
PBANKA_0512700.1	"conserved Plasmodium protein, unknown function"	456	151	17014
PBANKA_0105000.1	"ubiquitin-conjugating enzyme E2, putative"	450	149	17045
PBANKA_1408700.1	"conserved Plasmodium protein, unknown function"	435	144	17059
PBANKA_1114800.1	"conserved Plasmodium protein, unknown function"	429	142	17074
PBANKA_1442700.1	"conserved Plasmodium protein, unknown function"	444	147	17097
PBANKA_0208200.1	"conserved Plasmodium protein, unknown function"	429	142	17101
PBANKA_0912800.1	"conserved Plasmodium protein, unknown function"	444	147	17120
PBANKA_0814000.1	"conserved protein, unknown function"	438	145	17121
PBANKA_1142400.1	"nucleoside diphosphate kinase b, putative"	450	149	17123
PBANKA_0910900.1	"conserved Plasmodium protein, unknown function"	444	147	17132
PBANKA_0204000.1	"cold-shock protein, putative"	435	144	17142
PBANKA_0314000.1	"AP-2 complex subunit sigma, putative"	426	141	17159
PBANKA_1026000.1	"conserved Plasmodium protein, unknown function"	432	143	17164
PBANKA_0214951.1	"conserved rodent malaria protein, unknown function"	432	143	17171
PBANKA_1039400.1	"ubiquitin-40S ribosomal protein S27a, putative"	450	149	17174
PBANKA_0801000.1	"conserved Plasmodium protein, unknown function"	441	146	17175
PBANKA_0317081.1	"conserved rodent malaria protein, unknown function"	432	143	17184
PBANKA_1142000.1	"conserved Plasmodium protein, unknown function"	444	147	17191
PBANKA_1241900.1	"ubiquitin-conjugating enzyme E2 N, putative"	456	151	17204
PBANKA_API00290.1	apicoplast ribosomal protein S7	432	143	17233
PBANKA_1135100.1	"40S ribosomal protein S15, putative"	456	151	17257
PBANKA_1451200.1	"p25-alpha family protein, putative"	459	152	17272
PBANKA_0008701.1	"PIR protein, pseudogene"	444	147	17273
PBANKA_1220000.1	"conserved Plasmodium protein, unknown function"	453	150	17307
PBANKA_1318600.1	"conserved Plasmodium protein, unknown function"	462	153	17311
PBANKA_0722961.1	PIR protein	441	147	17360
PBANKA_0819100.1	"cytochrome b5, putative"	447	148	17377
PBANKA_1237500.1	"pre-mRNA-splicing factor BUD31, putative"	444	147	17381
PBANKA_0216721.1	"Plasmodium exported protein, unknown function"	459	152	17384
PBANKA_1409200.1	"RNA-binding protein, putative"	465	154	17404
PBANKA_1125400.1	"conserved Plasmodium protein, unknown function"	438	145	17411
PBANKA_0403900.1	"conserved Plasmodium protein, unknown function"	438	145	17430
PBANKA_1347100.1	"trafficking protein particle complex subunit 2, putative"	462	153	17461
PBANKA_1239000.1	"conserved Plasmodium membrane protein, unknown function"	462	153	17474
PBANKA_1313500.1	"conserved Plasmodium protein, unknown function"	450	149	17495
PBANKA_0523500.1	"AP-4 complex subunit sigma, putative"	441	146	17500
PBANKA_1315200.1	"pre-mRNA-splicing factor CWF18, putative"	447	148	17502
PBANKA_1432600.1	"conserved Plasmodium protein, unknown function"	423	140	17512
PBANKA_0607500.1	"conserved Plasmodium protein, unknown function"	453	150	17518
PBANKA_0924600.1	"mitochondrial ribosomal protein L37, putative"	447	148	17519
PBANKA_1410200.1	"cytochrome c2 precursor,putative"	462	153	17520
PBANKA_1324300.1	inner membrane complex sub-compartment protein 3	453	150	17525
PBANKA_1447000.1	"cytochrome b5, putative"	456	151	17541
PBANKA_0901400.1	"mitochondrial ATP synthase delta subunit, putative"	465	154	17544
PBANKA_0603200.1	"eukaryotic translation initiation factor 5A, putative"	486	161	17553
PBANKA_0716200.1	"calmodulin-like protein, putative"	453	150	17569
PBANKA_1403000.1	"small heat shock protein, putative"	447	148	17577
PBANKA_0705300.1	"conserved protein, unknown function"	456	151	17596
PBANKA_0622700.1	"mago nashi protein homologue, putative"	447	148	17601
PBANKA_1218900.1	"elongation factor 1 (EF-1), putative"	474	157	17658
PBANKA_0214500.1	"conserved Plasmodium protein, unknown function"	477	158	17722
PBANKA_1458500.1	"NEDD8-conjugating enzyme UBC12, putative"	465	154	17722
PBANKA_0836550.1	"PIR protein, pseudogene"	468	155	17737
PBANKA_0310600.1	"conserved protein, unknown function"	465	154	17739
PBANKA_1229700.1	"conserved Plasmodium protein, unknown function"	444	147	17752
PBANKA_0623751.1	"fam-a protein, pseudogene"	447	148	17753
PBANKA_1001900.1	"conserved Plasmodium protein, unknown function"	456	151	17755
PBANKA_0401900.1	"DNA-directed RNA polymerases I, II, and III subunit RPABC2, putative"	459	152	17756
PBANKA_1018200.1	"conserved Plasmodium protein, unknown function"	447	148	17771
PBANKA_1309300.1	"conserved Plasmodium protein, unknown function"	453	150	17801
PBANKA_0905600.1	"translation initiation factor eIF-1A, putative"	468	155	17845
PBANKA_1102500.1	"DnaJ protein, putative"	453	150	17851
PBANKA_1107000.1	"conserved Plasmodium protein, unknown function"	462	153	17854
PBANKA_0835000.1	"conserved Plasmodium protein, unknown function"	447	148	17855
PBANKA_0922100.1	"40S ribosomal protein S18, putative"	471	156	17881
PBANKA_1000900.1	"conserved Plasmodium protein, unknown function"	447	148	17897
PBANKA_0803900.1	"conserved Plasmodium protein, unknown function"	477	158	17921
PBANKA_1013100.1	"60S ribosomal protein L14, putative"	471	156	17924
PBANKA_0926700.1	circumsporozoite-related antigen	501	166	17943
PBANKA_1235300.1	"bis(5'-nucleosyl)-tetraphosphatase [asymmetrical], putative"	471	156	17970
PBANKA_1010100.1	"mitochondrial import inner membrane translocase subunit TIM17, putative"	489	162	17971
PBANKA_1201700.1	"N-terminal acetyltransferase A complex catalytic subunit ARD1, putative"	459	152	17975
PBANKA_1423400.1	"conserved Plasmodium protein, unknown function"	459	152	18012
PBANKA_0204100.1	"N-terminal acetyltransferase, putative"	459	152	18024
PBANKA_0938200.1	"conserved Plasmodium protein, unknown function"	459	152	18040
PBANKA_1430400.1	"adrenodoxin-type ferredoxin, putative"	477	158	18062
PBANKA_0803500.1	"ATP synthase subunit C, putative"	498	165	18068
PBANKA_1037900.1	"conserved Plasmodium protein, unknown function"	468	155	18110
PBANKA_1463400.1	"AP-3 complex subunit sigma, putative"	474	157	18125
PBANKA_1363900.1	"conserved protein, unknown function"	468	155	18143
PBANKA_1428600.1	"conserved protein, unknown function"	456	151	18143
PBANKA_0316650.1	"PIR protein, pseudogene"	510	169	18148
PBANKA_0827800.1	"CS domain protein, putative"	468	155	18162
PBANKA_1318200.1	"iron sulfur cluster assembly protein, putative"	486	161	18165
PBANKA_0816100.1	"SUMO-conjugating enzyme UBC9, putative"	480	159	18185
PBANKA_0930400.1	"peptidyl-tRNA hydrolase ICT1, putative"	462	153	18192
PBANKA_1132500.1	"mitochondrial import inner membrane translocase subunit TIM23, putative"	504	167	18198
PBANKA_0939400.1	"prefoldin, putative"	465	154	18205
PBANKA_1037800.1	secreted ookinete adhesive protein	501	166	18211
PBANKA_1231800.1	"60S ribosomal protein L12, putative"	498	165	18214
PBANKA_0932700.1	"conserved Plasmodium protein, unknown function"	444	147	18218
PBANKA_0930000.1	"AP-1 complex subunit sigma, putative"	468	155	18233
PBANKA_0314100.1	"conserved Plasmodium protein, unknown function"	453	150	18335
PBANKA_1135000.1	"YOP1-like protein, putative"	462	153	18364
PBANKA_1358000.1	thioredoxin 2	474	157	18417
PBANKA_0206900.1	"pre-rRNA-processing protein TSR2, putative"	480	159	18430
PBANKA_1441800.1	"conserved Plasmodium protein, unknown function"	477	158	18432
PBANKA_0806000.1	"ubiquitin-conjugating enzyme, putative"	483	160	18450
PBANKA_0816900.1	"conserved Plasmodium protein, unknown function"	471	156	18460
PBANKA_0208000.1	cyclase-associated protein	486	161	18469
PBANKA_1333000.1	"conserved Plasmodium protein, unknown function"	480	159	18493
PBANKA_1430500.1	"conserved Plasmodium protein, unknown function"	465	154	18493
PBANKA_1462100.1	"conserved Plasmodium protein, unknown function"	456	151	18507
PBANKA_1024500.1	"conserved Plasmodium protein, unknown function"	477	158	18523
PBANKA_1115600.1	"conserved Plasmodium protein, unknown function"	462	153	18524
PBANKA_1352800.1	"conserved Plasmodium protein, unknown function"	483	160	18647
PBANKA_0209100.1	thrombospondin related sporozoite protein	480	159	18653
PBANKA_1400900.1	"conserved Plasmodium protein, unknown function"	492	163	18653
PBANKA_0606800.1	"mitochondrial ACP precursor, putative"	477	158	18658
PBANKA_0201600.1	early transcribed membrane protein	534	177	18671
PBANKA_0931700.1	"peptidyl-prolyl cis-trans isomerase, putative"	504	167	18685
PBANKA_1018600.1	"60S ribosomal protein L21, putative"	486	161	18712
PBANKA_0807600.1	"40S ribosomal protein S11, putative"	486	161	18719
PBANKA_1447800.1	"conserved Plasmodium protein, unknown function"	477	158	18721
PBANKA_0821900.1	"ubiquitin-conjugating enzyme, putative"	492	163	18725
PBANKA_0908600.1	"conserved Plasmodium protein, unknown function"	501	166	18747
PBANKA_1415900.1	"conserved Plasmodium protein, unknown function"	498	165	18754
PBANKA_0104200.1	"calcium-binding protein, putative"	474	157	18807
PBANKA_1216500.1	"peptidyl-prolyl cis-trans isomerase, putative"	513	170	18818
PBANKA_0100600.1	schizont membrane associated cytoadherence protein	483	160	18856
PBANKA_1221200.1	"60S ribosomal protein L34, putative"	495	164	18869
PBANKA_1311900.1	"conserved Plasmodium protein, unknown function"	474	157	18881
PBANKA_1100821.1	"fam-a protein, pseudogene"	462	153	18893
PBANKA_1416200.1	"conserved Plasmodium protein, unknown function"	480	159	18915
PBANKA_1142900.1	"suppressor of kinetochore protein 1, putative"	489	162	18936
PBANKA_1407600.1	"60S ribosomal protein L24, putative"	492	163	18950
PBANKA_0523800.1	"asparagine rich protein, putative"	504	167	18978
PBANKA_0921000.1	"conserved Plasmodium protein, unknown function"	471	156	19016
PBANKA_1230500.1	"RNA and export factor binding protein, putative"	477	158	19040
PBANKA_1131000.1	"V-type proton ATPase 21 kDa proteolipid subunit, putative"	546	181	19061
PBANKA_1424900.1	"ubiquitin-conjugating enzyme, putative"	498	165	19063
