Stanway_2019_B1-MG_data_normalized,,,,,
Gene ID,gene_name,gene_product,Log2-FC,SD,Power
PBANKA_0706900,,"conserved Plasmodium protein, unknown function",-0.477,0.137,not reduced
PBANKA_1202600,,"E3 ubiquitin-protein ligase, putative",-1.288,0.097,reduced
PBANKA_0209900,NT4,"nucleoside transporter 4, putative",-0.299,0.141,not reduced
PBANKA_0615100,,"queuine tRNA-ribosyltransferase, putative",0.435,0.187,not reduced
PBANKA_0105200,,"polypyrimidine tract-binding protein, putative",-0.082,0.083,not reduced
PBANKA_1463500,,"translation initiation factor eIF-2B subunit beta, putative",-3.736,3.044,no power
PBANKA_0702200,,"translation initiation factor eIF-2B subunit alpha, putative",-9.373,0.821,reduced
PBANKA_1212300,,"translation initiation factor eIF-2B subunit delta, putative",-9.048,0.875,reduced
PBANKA_0519800,,"acetyl-CoA transporter, putative",-9.747,0.172,reduced
PBANKA_1220300,,"lysophospholipase, putative",-0.147,0.189,not reduced
PBANKA_0310000,SIS1,"protein SIS1, putative",-0.847,0.241,no power
PBANKA_1024100,SPB4,"ATP-dependent rRNA helicase SPB4, putative",-1.539,0.167,reduced
PBANKA_0521800,RRF2,"ribosome-recycling factor, putative",-0.896,0.126,no power
PBANKA_1122800,,"ribonuclease H2 subunit A, putative",-4.317,0.509,reduced
PBANKA_1122300,,"RNA-binding protein, putative",-0.843,0.206,no power
PBANKA_0615400,,"serine--tRNA ligase, putative",-1.672,1.461,no power
PBANKA_1205000,GBP2,"single-strand telomeric DNA-binding protein GBP2, putative",-0.606,0.929,no power
PBANKA_0203300,RPB9,"DNA-directed RNA polymerase II subunit RPB9, putative",-1.945,3.242,no power
PBANKA_1358600,IDH,"isocitrate dehydrogenase [NADP], mitochondrial, putative",-7.005,0.830,reduced
PBANKA_1414400,,"exportin-1, putative",-1.460,0.440,no power
PBANKA_0921100,,"methyltransferase, putative",-0.291,0.224,not reduced
PBANKA_1417800,,"N2,N2-dimethylguanosine tRNA methyltransferase, putative",0.277,1.076,no power
PBANKA_1223200,,"conserved Plasmodium protein, unknown function",-2.401,0.560,reduced
PBANKA_0410300,RPN12,"26S proteasome regulatory subunit RPN12, putative",-0.942,1.896,no power
NA,,NA,0.161,0.193,not reduced
NA,,NA,-0.672,0.182,no power
NA,,NA,0.112,0.273,not reduced
NA,,,-0.086,0.129,not reduced
PBANKA_1000100.1,,NA,-0.365,0.158,not reduced
