GeneID,Old GeneID,Description,3D7 Gam Specific Transcription,3D7 Gam Specific Stabilization,Gametocyte transcription,Gametocyte stabilzation,mRNA Control,"Stage I-II transcript (Silvestrini et al., 2005)","Gametocyte transcript (Young et al., 2005)","Stage I-II transcript (Eksi et al., 2005)","Stage I-II transcript (Eksi et al., 2012)","Transcript downregulated in DOZI/CITH KO (Mair et al., 2010)","Stage II transcript enriched 2-fold (Lopez-Barragan et al., 2011)","Stage V tranascript enriched 2-fold (Lopez-Barragan et al., 2011)","Ookinete transcript enriched 20-fold (Lopez-Barragan et al., 2011)","Gameotcyte-Ookinete transcript present (Lopez-Barragan et al., 2011)","Stage I-II transcript in HP1off (Brancucci et al., 2014)","Stage I-II peptide (Silvestrini et al., 2010)","Stage V peptide (Silvestrini et al., 2010)","Male-Female Gametocyte Peptide (Tao et al., 2014)","Male-Female Stage V Gametocyte Peptide (Tao et al., 2014)",Times previously identified,Identified in this study,Previously identified as enriched,NEW,,
PF3D7_0316500,PFC0720w,"conserved Plasmodium protein, unknown function",0.594274,0.012814,,,,,,,,,,√,√,√,,√,√,√,,6,NO,YES,,,
PF3D7_1006700,PF10_0067,"conserved Plasmodium protein, unknown function",-0.329911,-0.124498,,,,,,,,,,√,√,√,,√,√,√,,6,NO,YES,,,
PF3D7_1006600,PF10_0066,"thioredoxin, putative",0.9825685,-0.1353255,,,,,,,,,√,√,√,√,,√,√,,,6,NO,YES,,,
PF3D7_1466600,PF14_0634,"conserved Plasmodium protein, unknown function",0.899788,-0.1725475,,,,,√,,,,,,√,√,,,√,√,√,6,NO,YES,,,
PF3D7_0936600,PFI1770w,"Plasmodium exported protein (PHISTb), unknown function (GEXP05)",-0.8718175,-0.3406125,,,,,,,,,√,√,√,√,,√,√,,,6,NO,YES,,,
PF3D7_0719000,MAL7P1.98,"conserved Plasmodium protein, unknown function",1.555846,-0.4967455,√,,transcribed,,,,,,√,√,√,√,,√,√,,,6,YES,YES,,,
PF3D7_0405600,PFD0275w,"conserved Plasmodium membrane protein, unknown function",-0.701527,-0.7413055,,,,,,,,,√,√,,√,,√,√,√,,6,NO,YES,,,
PF3D7_1342600,PF13_0233,myosin A (MyoA),0.048454,1.9161335,,√,stabilized,,,,,√,,,√,√,,√,√,,,5,YES,YES,,,
PF3D7_0422300,PFD1050w,alpha tubulin 2,-2.4475275,1.683541,,√,stabilized,,√,,,,√,,,√,,√,√,,,5,YES,YES,,,
PF3D7_0913800,PFI0675w,"conserved Plasmodium protein, unknown function",1.041727,1.6484055,√,√,balance,,,,,,√,√,√,√,,,√,,,5,YES,YES,,,
PF3D7_0515700,PFE0785c,"glideosome-associated protein 40, putative (GAP40)",-3.3528505,1.504225,,√,stabilized,,,,,√,,,√,√,,,√,√,,5,YES,YES,,,
PF3D7_1136900,PF11_0381,subtilisin-like protease 2 (SUB2),-1.657213,1.498368,,√,stabilized,,,,,,,,√,√,,,√,√,√,5,YES,YES,,,
PF3D7_1105100,PF11_0062,histone H2B (H2B),-3.299652,1.397372,,√,stabilized,,,,,,√,,√,√,,√,√,,,5,YES,YES,,,
PF3D7_1003600,PF10_0039,membrane skeletal protein IMC1-related (ALV5),-3.2373485,1.3659495,,√,stabilized,√,,,,√,,√,√,√,,,,,,5,YES,YES,,,
PF3D7_0423500,PFD1110w,glideosome associated protein with multiple membrane spans 2 (GAPM2),-3.6404165,1.2938215,,√,stabilized,,,,,,,,√,√,,√,√,√,,5,YES,YES,,,
PF3D7_0934800,PFI1685w,cAMP-dependent protein kinase catalytic subunit (PKAc),-0.3464745,1.190555,,√,stabilized,,,,,,,,√,√,,√,√,√,,5,YES,YES,,,
PF3D7_1221400,PFL1030w,"membrane skeletal protein, putative (ALV3)",-0.1579705,1.112413,√,√,balance,,√,,,√,√,,√,√,,,,,,5,YES,YES,,,
PF3D7_0105300,PFA0260c,"cyclase-associated protein, putative (C-CAP)",-1.213666,1.085601,,√,stabilized,,,,,,,,√,√,,,√,√,√,5,YES,YES,,,
PF3D7_0808300,MAL8P1.122,"ubiquitin regulatory protein, putative",-2.7634785,1.0533515,,√,stabilized,,,,,,,√,√,√,,√,√,,,5,YES,YES,,,
PF3D7_1455000,PF14_0523,"protein phosphatase, putative",-0.4162,0.9717185,,,,,√,,,,√,,√,√,,,√,,,5,NO,YES,,,
PF3D7_1409400,PF14_0092,"conserved Plasmodium membrane protein, unknown function",-0.474334,0.9376475,,√,stabilized,,,,,,√,,√,√,,,√,√,,5,YES,YES,,,
PF3D7_1236900,PFL1785c,"conserved Plasmodium protein, unknown function",-1.791088,0.9051995,,,,,,,,,,,√,√,,√,√,√,,5,NO,YES,,,
PF3D7_0920700,PFI1015w,"conserved Plasmodium protein, unknown function",-1.562384,0.826393,,,,,,,,,,,√,√,,√,√,√,,5,NO,YES,,,
PF3D7_0829600,MAL8P1.6,early transcribed membrane protein 8 (ETRAMP8),-1.0056575,0.825029,,,,,,,,,√,√,√,√,,,√,,,5,NO,YES,,,
PF3D7_1435300,PF14_0334,"NAD(P)H-dependent glutamate synthase, putative",-1.4845025,0.815174,,,,,,,,,,,√,√,,,√,√,√,5,NO,YES,,,
PF3D7_0210700,PFB0480w,"syntaxin, Qa-SNARE family (SYN17)",-2.4101255,0.778746,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_0927300,PFI1340w,"fumarate hydratase, putative",-0.263003,0.709848,,,,,,,,,,,√,√,,√,√,√,,5,NO,YES,,,
PF3D7_1127500,PF11_0286,"protein disulfide isomerase, putative",-0.221569,0.7024855,,,,,,,,,,,√,√,,√,√,√,,5,NO,YES,,,
PF3D7_0621400,PFF1035w,Pf77 protein (ALV7),-0.628222,0.694982,,,,,√,,,√,,√,√,√,,,,,,5,NO,YES,,,
PF3D7_0918000,PFI0880c,"glideosome-associated protein 50,secreted acid phosphatase (GAP50)",-0.596783,0.609067,,,,,,,,√,,,√,√,,√,√,,,5,NO,YES,,,
PF3D7_0522400,PFE1120w,"conserved Plasmodium protein, unknown function",-1.117399,0.604635,,,,,,,,,,√,,√,,,√,√,√,5,NO,YES,,,
PF3D7_0929600,PFI1455c,"conserved Plasmodium protein, unknown function",0.453264,0.596342,,,,,√,,,,√,√,√,√,,,,,,5,NO,YES,,,
PF3D7_1474900,PF14_0717,"trailer hitch homolog, putative (CITH)",-1.667805,0.572545,,,,,,,,,√,,√,√,,√,√,,,5,NO,YES,,,
PF3D7_1339400,PF13_0216,"conserved Plasmodium protein, unknown function",-2.435843,0.561797,,,,,,,,,√,,,√,,,√,√,√,5,NO,YES,,,
PF3D7_1022500,PF10_0218,"citrate synthase, mitochondrial precursor, putative",0.4152675,0.549844,,,,√,,,,,,,,√,,,√,√,√,5,NO,YES,,,
PF3D7_1006000,PF10_0061,"conserved Plasmodium protein, unknown function",1.052637,0.5402255,√,,transcribed,,√,,,,√,√,√,√,,,,,,5,YES,YES,,,
PF3D7_0504900,PFE0240w,"conserved Plasmodium protein, unknown function",-0.059625,0.520331,,,,,,,,,√,√,√,√,,,√,,,5,NO,YES,,,
PF3D7_0909000,PFI0435c,"conserved Plasmodium protein, unknown function",-0.2039005,0.499435,,,,,,,,,√,√,√,√,,,√,,,5,NO,YES,,,
PF3D7_1211000,PFL0545w,"kinesin-like protein, putative",0.8091295,0.49264,,,,,,,,√,,,√,√,,,,√,√,5,NO,YES,,,
PF3D7_1430100,PF14_0280,"phosphotyrosyl phosphatase activator, putative",0.180091,0.4693695,,,,,,,,,√,,√,√,,√,√,,,5,NO,YES,,,
PF3D7_0728700,MAL7P1.156,"conserved Plasmodium protein, unknown function",0.8272525,0.423767,,,,,√,,,,√,√,√,√,,,,,,5,NO,YES,,,
PF3D7_0502300,PFE0115c,"conserved Plasmodium protein, unknown function",1.178048,0.421239,√,,transcribed,,√,,,,√,√,√,√,,,,,,5,YES,YES,,,
PF3D7_0915000,PFI0735c,type II NADH:ubiquinone oxidoreductase (NDH2),-1.289639,0.4093235,,,,,,,,,,,√,√,,,√,√,√,5,NO,YES,,,
PF3D7_1121000,PF11_0217,"zinc finger, DHHC-type, putative",-1.6376765,0.3859345,,,,,√,,,√,√,,√,√,,,,,,5,NO,YES,,,
PF3D7_1326000,MAL13P1.141,"conserved Plasmodium protein, unknown function",-1.7179365,0.3467435,,,,,,,,,√,,,√,,√,√,√,,5,NO,YES,,,
PF3D7_0517600,PFE0880c,"f-actin capping protein beta subunit, putative (CP)",0.260174,0.3359455,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_0503400,PFE0165w,actin-depolymerizing factor 1 (ADF1),0.005587,0.333679,,,,,,,,,√,,√,√,,√,√,,,5,NO,YES,,,
PF3D7_1403700,PF14_0034,"translocation associated membrane protein, putative (TRAM)",-0.989574,0.3103005,,,,,√,,,,√,,,√,,√,√,,,5,NO,YES,,,
PF3D7_0904700,PFI0230c,bacterial histone-like protein (HU),-2.460133,0.307473,,,,,,,,,,√,√,√,,√,√,,,5,NO,YES,,,
PF3D7_0919800,PFI0970c,TLD domain containing protein,-0.4957875,0.306559,,,,,,,,,,√,√,√,,√,√,,,5,NO,YES,,,
PF3D7_0816500,MAL8P1.78,"small heat shock protein HSP20, putative (HSP20)",1.7824515,0.302864,√,,transcribed,,√,,,,√,√,√,√,,,,,,5,YES,YES,,,
PF3D7_1232300,PFL1555w,"cytochrome b5, putative",0.4397915,0.2702345,,,,,,,,,√,,,√,,,√,√,√,5,NO,YES,,,
PF3D7_0933200,PFI1610c,"calcyclin binding protein, putative",-1.1851935,0.264104,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_0910600,PFI0515w,SNARE protein (YKT6.1),-1.030489,0.2639195,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_0908300.1,PFI0400c,"conserved Plasmodium membrane protein, unknown function",-0.7480065,0.241832,,,,,,,,,√,√,√,√,,,√,,,5,NO,YES,,,
PF3D7_1362000,PF13_0329,"conserved Plasmodium protein, unknown function",-1.664966,0.2330095,,,,,,,,,√,,,√,,√,√,√,,5,NO,YES,,,
PF3D7_0104400,PFA0225w,4-hydroxy-3-methylbut-2-enyl diphosphate reductase (LytB),-0.3810115,0.231753,,,,,,,,,,√,√,√,,√,√,,,5,NO,YES,,,
PF3D7_1238400,PFL1860c,"conserved Plasmodium protein, unknown function",-0.4005855,0.2232255,,,,,,,,,√,,,√,,,√,√,√,5,NO,YES,,,
PF3D7_0801600,PF08_0134,"conserved Plasmodium protein, unknown function",-1.074194,0.2108965,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_0420400,PFD0990w,"ribosome recycling factor, putative",0.6111135,0.186074,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_0819600,MAL8P1.62,"conserved Plasmodium protein, unknown function",-0.8039875,0.1765915,,,,,,,,,,√,,√,,√,√,√,,5,NO,YES,,,
PF3D7_0204200,PFB0194w,"conserved Plasmodium protein, unknown function",-1.0319405,0.1691965,,,,√,,,,,,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_0719400,MAL7P1.102,"conserved Plasmodium protein, unknown function",0.005844,0.1690585,,,,,,,,,,√,,√,,√,√,√,,5,NO,YES,,,
PF3D7_0911200,PFI0545w,"conserved Plasmodium protein, unknown function",-1.370199,0.1633225,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_1122100,PF11_0229,"conserved Plasmodium protein, unknown function",-0.0053005,0.160879,,,,,,,,,√,,,√,,√,√,√,,5,NO,YES,,,
PF3D7_1336400,MAL13P1.182,"glucose-induced degradation protein 8, putative (GID8)",-0.7059725,0.15533,,,,,,,,,√,,,√,,√,√,√,,5,NO,YES,,,
PF3D7_0627000,PFF1310c,"conserved Plasmodium protein, unknown function",1.9957795,0.133329,√,,transcribed,,,,,,√,√,√,√,,,√,,,5,YES,YES,,,
PF3D7_1002700,PF10_0031,"conserved Plasmodium protein, unknown function",-1.176983,0.13114,,,,,,,,,,√,,√,,,√,√,√,5,NO,YES,,,
PF3D7_0729200,MAL7P1.159,1-cys peroxiredoxin (AOP),-0.172114,0.1310915,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_1147700,PF11_0485,"mitochondrial ATP synthase delta subunit, putative",-0.7275775,0.1101775,,,,,,,,,√,,,√,,√,√,√,,5,NO,YES,,,
PF3D7_1025000,PF10_0244,"formin 2, putative",0.1978575,0.107498,,,,√,,,,,,,,√,,√,√,√,,5,NO,YES,,,
PF3D7_0213500,PFB0610c,"conserved Plasmodium protein, unknown function",-0.1350825,0.102246,,,,,,,,,,√,√,√,,√,√,,,5,NO,YES,,,
PF3D7_1202100.1,PFL0105w,"conserved Plasmodium protein, unknown function",-0.194468,0.092495,,,,,√,,,,,,√,√,,√,√,,,5,NO,YES,,,
PF3D7_1212800,PFL0630w,iron-sulfur subunit of succinate dehydrogenase,-0.607154,0.089281,,,,,,,,,,,√,√,,√,√,√,,5,NO,YES,,,
PF3D7_1322800,MAL13P1.128,"conserved Plasmodium protein, unknown function",0.767346,0.059881,,,,,,,,,√,,√,√,,√,√,,,5,NO,YES,,,
PF3D7_1250300,PFL2415w,"Hbeta58/Vps26 protein homolog, putative",-0.802205,0.055985,,,,,,,,,,,√,√,,√,√,√,,5,NO,YES,,,
PF3D7_1011500,PF10_0112,"conserved Plasmodium membrane protein, unknown function",-0.6763465,0.010449,,,,,,,,,√,√,√,√,,,√,,,5,NO,YES,,,
PF3D7_0303500,PFC0165w,"spindle pole body protein, putative",0.1975185,-0.0127715,,,,,,,,,,√,,√,,,√,√,√,5,NO,YES,,,
PF3D7_0812600,PF08_0085,"ubiquitin conjugating enzyme, putative",-0.3127975,-0.020903,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_0405700,PFD0285c,"lysine decarboxylase, putative",-0.6739125,-0.030515,,,,,,,,,,√,√,√,,√,√,,,5,NO,YES,,,
PF3D7_0213400,PFB0605w,protein kinase 7 (PK7),0.5897925,-0.0354285,,,,,,,,,√,√,√,√,,,√,,,5,NO,YES,,,
PF3D7_0204900,PFB0220w,"ubiE/COQ5 methyltransferase, putative",-0.9660985,-0.037669,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_1012300,PF10_0120,"ubiquinol-cytochrome c reductase complex subunit, putative",1.13376,-0.050394,√,,transcribed,,,,,,√,,√,√,,√,√,,,5,YES,YES,,,
PF3D7_1366500,PF13_0349,nucleoside diphosphate kinase (NDK),-0.530966,-0.051382,,,,,,,,,√,,√,√,,√,√,,,5,NO,YES,,,
PF3D7_0207200,PFB0320c,"iron-sulfur assembly protein, putative",0.7198545,-0.054235,,,,,,,,,√,√,√,√,,,√,,,5,NO,YES,,,
PF3D7_1406700,PF14_0064,"phosphatase, putative",-0.5378995,-0.0591245,,,,,,,,,√,,,√,,√,√,√,,5,NO,YES,,,
PF3D7_1308500,MAL13P1.40,"conserved Plasmodium protein, unknown function",0.593517,-0.1108575,,,,,,,,,,,√,√,,,√,√,√,5,NO,YES,,,
PF3D7_0423200,PFD1095w,"BSD domain, putative",-1.1838215,-0.1498735,,,,,,,,,√,√,√,√,,,√,,,5,NO,YES,,,
PF3D7_0915200,PFI0745w,"conserved Plasmodium protein, unknown function",-0.5472185,-0.157599,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_0320100,PFC0890w,SNARE protein (SEC22),-0.300254,-0.177363,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_0626100,PFF1265w,"oxidoreductase, short-chain dehydrogenase family, putative",-0.0117325,-0.1790925,,,,,,,,,√,,,√,,,√,√,√,5,NO,YES,,,
PF3D7_0212900,PFB0585w,"Leu/Phe-tRNA protein transferase, putative",0.0628185,-0.185913,,,,,,,,,,,√,√,,√,√,√,,5,NO,YES,,,
PF3D7_0320000,PFC0886w,"conserved Plasmodium protein, unknown function",-1.275223,-0.1860335,,,,,,,,,√,√,√,√,,,√,,,5,NO,YES,,,
PF3D7_1310000,MAL13P1.47,"mitochondrial ATP synthase delta subunit, putative (OSCP)",0.723114,-0.1867665,,,,,,,,,√,,,√,,√,√,√,,5,NO,YES,,,
PF3D7_0720500,MAL7P1.106,"conserved Plasmodium protein, unknown function",1.279811,-0.197868,√,,transcribed,,,,,,√,√,,√,,√,√,,,5,YES,YES,,,
PF3D7_1331300,MAL13P1.167,signal peptidase 21 kDa subunit (SP21),-0.7844075,-0.1987745,,,,,,,,,√,,,√,,√,√,√,,5,NO,YES,,,
PF3D7_0303700,PFC0170c,"dihydrolipoamide acyltransferase, putative",-1.2625175,-0.2033265,,,,,,,,,,,√,√,,√,√,√,,5,NO,YES,,,
PF3D7_0722700,PF07_0093,"conserved Plasmodium protein, unknown function",-1.1720665,-0.2103515,,,,,,,,,√,,,√,,,√,√,√,5,NO,YES,,,
PF3D7_1313000,MAL13P1.64,"ubiquitin-like protein nedd8 homologue, putative (Nedd8)",-0.1859745,-0.22807,,,,,,,,,√,,,√,,√,√,√,,5,NO,YES,,,
PF3D7_0512000,PFE0595w,"prefoldin subunit, putative",-0.5729075,-0.250867,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_0528700,PFE1430c,peptidyl-prolyl cis-trans isomerase (CYP23),-0.7478525,-0.26182,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_1008800,PF10_0085,"small subunit rRNA processing protein, putative",-0.116647,-0.271718,,,,,,,,,,,√,√,,√,√,√,,5,NO,YES,,,
PF3D7_1465000,PF14_0617,"conserved Plasmodium protein, unknown function",1.2993795,-0.2745395,√,,transcribed,,,,,,√,,,√,,√,√,√,,5,YES,YES,,,
PF3D7_0626600,PFF1290c,"conserved Plasmodium protein, unknown function",1.1726675,-0.296307,√,,transcribed,,,,,,√,√,,√,,√,√,,,5,YES,YES,,,
PF3D7_1436900,PF14_0349,"histidine triad protein, putative",0.0332425,-0.300427,,,,,,,,,√,,,√,,√,√,√,,5,NO,YES,,,
PF3D7_1019900,PF10_0193,"autophagy-related protein 8, putative (ATG8)",0.6465835,-0.301643,,,,,,,,,√,,√,√,,√,√,,,5,NO,YES,,,
PF3D7_0916500,PFI0810c,apicoplast Ufd1 precursor (UFD1),-1.1559795,-0.3236475,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_0721400,MAL7P1.114,"P36-like protein homologue, putative",1.15975,-0.359802,√,,transcribed,,,,,,√,√,,√,,√,√,,,5,YES,YES,,,
PF3D7_0602100,PFF0100w,"ATP-dependent RNA helicase, putative",-0.0869425,-0.36087,,,,,,,,,,,√,√,,√,√,√,,5,NO,YES,,,
PF3D7_0804500,MAL8P1.139,"conserved Plasmodium membrane protein, unknown function",-0.6925175,-0.36421,,,,,,,,,,√,,√,,,√,√,√,5,NO,YES,,,
PF3D7_0829200,PF08_0006,"prohibitin, putative",0.9574295,-0.3697665,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_0512600,PFE0625w,Rab GTPase 1b (Rab1b),-0.6657355,-0.3755855,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_0312300,PFC0520w,"26S proteasome regulatory subunit S14, putative",-1.2293045,-0.376672,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_0303600,PFC0166w,plasmoredoxin (Plrx),0.73292,-0.3774915,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_1442000,PF14_0399,"ADP-ribosylation factor, putative",-0.0610105,-0.383682,,,,,,,,,√,,√,√,,√,√,,,5,NO,YES,,,
PF3D7_0108800,PFA0435w,"conserved Plasmodium protein, unknown function",-0.3086435,-0.392328,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_0709500,PF07_0039,"conserved Plasmodium protein, unknown function",-0.9637565,-0.402595,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_0319900,PFC0885c,"conserved Plasmodium protein, unknown function",-0.1544785,-0.4045885,,,,,,,,,,√,,√,,√,√,√,,5,NO,YES,,,
PF3D7_0824600,MAL8P1.31,"anamorsin related protein, putative",-1.2004225,-0.412839,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_0317000,PFC0745c,"proteasome component C8, putative",-0.8586,-0.415085,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_1306200,PF13_0032,"conserved Plasmodium protein, unknown function",0.393966,-0.423473,,,,,,,,,,,√,√,,√,√,√,,5,NO,YES,,,
PF3D7_0306300,PFC0271c,glutaredoxin 1 (GRX1),-1.7878895,-0.425915,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_1333000,PF13_0180,20 kDa chaperonin (CPN20),0.466357,-0.4404345,,,,,,,,,√,,,√,,√,√,√,,5,NO,YES,,,
PF3D7_1030000,PF10_0293,"transcription factor, putative",-0.5282435,-0.4443525,,,,,,,,,√,,,√,,,√,√,√,5,NO,YES,,,
PF3D7_0526900,PFE1340w,"conserved Plasmodium protein, unknown function",-1.422536,-0.4472515,,,,,,,,,,√,,√,,√,√,√,,5,NO,YES,,,
PF3D7_0211200,PFB0500c,Rab GTPase 5a (RAB5a),0.4116595,-0.453795,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_0103900,PFA0195w,parasite-infected erythrocyte surface protein (PIEPS15),0.433157,-0.495531,,,,,,,,,,√,,√,,√,√,√,,5,NO,YES,,,
PF3D7_0104500,PFA0230c,"conserved Plasmodium protein, unknown function",-0.4302545,-0.502444,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_1209200,PFL0460w,"U6 snRNA-associated Sm-like protein LSm7, putative (LSM7)",0.967187,-0.5726365,,,,,,,,,√,,,√,,,√,√,√,5,NO,YES,,,
PF3D7_1215300,PFL0740c,10 kDa chaperonin (CPN10),-0.3906365,-0.602011,,,,,,,,,√,,√,√,,√,√,,,5,NO,YES,,,
PF3D7_0713700,MAL7P1.67,"conserved Plasmodium protein, unknown function",-1.882375,-0.6354345,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_0323800,PFC1065w,"conserved Plasmodium protein, unknown function",-1.164305,-0.6404655,,,,,,,,,,√,,√,,√,√,√,,5,NO,YES,,,
PF3D7_1127100,PF11_0282,deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase),1.382607,-0.6516645,√,,transcribed,,,,,,√,,√,√,,√,√,,,5,YES,YES,,,
PF3D7_0726400,MAL7P1.146,"conserved Plasmodium membrane protein, unknown function",-0.0232765,-0.660633,,,,,,,,,,√,,√,,,√,√,√,5,NO,YES,,,
PF3D7_0928900,PFI1420w,guanylate kinase (GK),-1.0253,-0.663221,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_0319200,PFC0850c,"endonuclease/exonuclease/phosphatase family protein, putative",0.7802625,-0.667645,,,,,,,,,,√,,√,,√,√,√,,5,NO,YES,,,
PF3D7_0314400,PFC0595c,"serine/threonine protein phosphatase, putative",-0.8361195,-0.696256,,,,,,,,,√,,,√,,√,√,√,,5,NO,YES,,,
PF3D7_0529500,PFE1470w,"cell cycle regulator protein, putative",-1.5100565,-0.7003385,,,,,,,,,√,,,√,,√,√,√,,5,NO,YES,,,
PF3D7_0412200,PFD0605c,"conserved Plasmodium protein, unknown function",-0.897143,-0.7099085,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_0715500,MAL7P1.75,"mitochondrial ATP synthase F1, epsilon subunit, putative",2.1268135,-0.7168065,√,,transcribed,,,,,,√,√,√,√,,,√,,,5,YES,YES,,,
PF3D7_1107000,PF11_0524,"U6 snRNA-associated Sm-like protein LSm4, putative (LSM4)",-0.725714,-0.723399,,,,,,,,,√,,,√,,√,√,√,,5,NO,YES,,,
PF3D7_1203200,PFL0160w,signal recognition particle SRP14 (SRP14),-1.3584305,-0.7422045,,,,,,,,,√,,√,√,,√,√,,,5,NO,YES,,,
PF3D7_1364800,PF13_0341,"DNA-directed RNA polymerase 2, putative",-0.6401755,-0.806503,,,,,,,,,√,,,√,,√,√,√,,5,NO,YES,,,
PF3D7_0208800,PFB0395w,"conserved Plasmodium protein, unknown function",0.052245,-0.836019,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_0919100,PFI0935w,"DnaJ protein, putative",0.583684,-0.851524,,,,,,,,,,√,,√,,√,√,√,,5,NO,YES,,,
PF3D7_0512700,PFE0630c,orotate phosphoribosyltransferase (OPRT),0.495378,-0.878441,,,,,,,,,,√,,√,,√,√,√,,5,NO,YES,,,
PF3D7_0512200,PFE0605c,glutathione synthetase (GS),-0.8986125,-0.891721,,,,,,,,,,√,,√,,√,√,√,,5,NO,YES,,,
PF3D7_1216300,PFL0785c,signal recognition particle SRP19 (SRP19),0.033906,-0.9002455,,,,,,,,,√,,,√,,√,√,√,,5,NO,YES,,,
PF3D7_1208600,PFL0430w,"tim10 homologue, putative",1.7914395,-0.9184755,√,,transcribed,,,,,,√,,√,√,,√,√,,,5,YES,YES,,,
PF3D7_0606900,PFF0340c,glutaredoxin-like protein (GLP2),0.2854265,-0.9919765,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_0306700,PFC0282w,"conserved Plasmodium protein, unknown function",1.6234935,-1.0082595,√,,transcribed,,,,,,√,√,,√,,√,√,,,5,YES,YES,,,
PF3D7_0822300,MAL8P1.48,"small nuclear ribonucleoprotein G, putative (SNRPG)",-1.361866,-1.233063,,,,,,,,,√,√,,√,,√,√,,,5,NO,YES,,,
PF3D7_1435400,PF14_0335,"conserved protein, unknown function",0.3328615,-1.3078975,,,,,,,,,√,,,√,,√,√,√,,5,NO,YES,,,
PF3D7_0516800,PFE0840c,transcription factor with AP2 domain(s) (ApiAP2),n.d.,n.d.,,,,,,,,,,√,√,√,,√,√,,,5,NO,YES,,,
PF3D7_1302100,PF13_0011,gamete antigen 27/25 (Pfg27),-1.6160425,3.7024235,,√,stabilized,,,,√,,√,,,√,,√,√,,,5,YES,YES,,,
PF3D7_1473700,PF14_0706,"conserved Plasmodium protein, unknown function",-1.225907,1.7362585,,√,stabilized,,,,,,,,√,√,√,√,√,,,5,YES,YES,,,
PF3D7_1461800,PF14_0588,"conserved Plasmodium protein, unknown function",-1.5945455,1.651845,,√,stabilized,,,,√,,√,,√,√,,√,,,,5,YES,YES,,,
PF3D7_1319800,MAL13P1.106,"probable protein, unknown function",-1.6399425,1.61923,,√,stabilized,,,,,,√,,√,√,,√,√,,,5,YES,YES,,,
PF3D7_1476500,PF14_0735,"probable protein, unknown function",-1.7997515,1.4564355,,√,stabilized,,,,√,,√,,√,√,,√,,,,5,YES,YES,,,
PF3D7_0724900,PF07_0104,"kinesin-like protein, putative",-0.671963,1.3844425,,√,stabilized,,√,,,√,,√,√,√,,,,,,5,YES,YES,,,
PF3D7_1372100,MAL13P1.475,"Plasmodium exported protein (PHISTb), unknown function (GEXP04)",-0.13257,1.2591945,,√,stabilized,,,,,,√,,√,√,√,√,,,,5,YES,YES,,,
PF3D7_0315600,PFC0680w,"conserved Plasmodium protein, unknown function",0.2355215,1.2093785,,√,stabilized,,,,√,,,,√,√,√,√,,,,5,YES,YES,,,
PF3D7_1102500,PF11_0037,"Plasmodium exported protein (PHISTb), unknown function (GEXP02)",-0.30441,1.194401,,√,stabilized,,,,,,,,√,√,√,√,√,,,5,YES,YES,,,
